Team A,Team B,Winner,Year,Venue
India,Pakistan,India,1984,Sharjah
Pakistan,Srilanka,Srilanka,1986,Colombo
Srilanka,India,India,1988,Dhaka
Srilanka,India,India,1991,Kolkata
Srilanka,India,India,1995,Sharjah
Srilanka,India,Srilanka,1997,Colombo
Pakistan,Srilanka,Pakistan,2000,Dhaka
Srilanka,India,Srilanka,2004,Colombo
Srilanka,India,Srilanka,2008,Karachi
India,Srilanka,India,2010,Dambulla
Pakistan,Bangladesh,Pakistan,2012,Dhaka
Pakistan,Srilanka,Srilanka,2014,Dhaka
India,Bangladesh,India,2018,Dubai
